id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range
M000496,Samuel,McKee,,,1774.0,1826.0,4,['Representative'],['KY'],['Democratic Republican'],11-14
M000501,Thomas,McKennan,McKean Thompson,,1794.0,1852.0,5,['Representative'],['PA'],"['Whig', 'Anti-Masonic']",22-27
M000515,Alexander,McKim,,,1748.0,1832.0,3,['Representative'],['MD'],['Democratic Republican'],11-13
M000516,Isaac,McKim,,,1775.0,1838.0,5,['Representative'],['MD'],"['Democratic Republican', 'Jackson Republican', 'Jacksonian', 'Democrat']",17-25
M000519,John,McKinley,,,1780.0,1852.0,5,"['Senator', 'Representative']",['AL'],"['Democrat', 'Jacksonian']",19-25
M000520,William,McKinley,,,,,1,['Representative'],['VA'],['Democratic Republican'],11-11
M000535,Louis,McLane,,,1786.0,1857.0,7,"['Senator', 'Representative']",['DE'],"['Jacksonian', 'Crawford Federalist', 'Federalist']",15-21
M000544,Alney,McLean,,,1779.0,1841.0,2,['Representative'],['KY'],['Democratic Republican'],14-16
M000549,John,McLean,,,1785.0,1861.0,2,['Representative'],['OH'],['Democratic Republican'],13-14
M000550,John,McLean,,,1791.0,1830.0,3,"['Senator', 'Representative']",['IL'],"['Jacksonian', 'Crawford Republican']",15-21
M000552,William,McLean,,,1794.0,1839.0,3,['Representative'],['OH'],"['Adams', 'Adams-Clay Republican']",18-20
M000556,Jeremiah,McLene,,,1767.0,1837.0,2,['Representative'],['OH'],['Jacksonian'],23-24
M000562,William,McManus,,,1780.0,1835.0,1,['Representative'],['NY'],['Adams'],19-19
M000564,Alexander,McMillan,,,,1817.0,1,['Representative'],['NC'],['Federalist'],15-15
M000571,William,McMillan,,,1764.0,1804.0,1,['Delegate'],['OH'],[],6-6
M000586,Archibald,McNeill,,,,1849.0,2,['Representative'],['NC'],"['Jacksonian', 'Federalist']",17-19
M000602,James,McSherry,,,1776.0,1849.0,1,['Representative'],['PA'],['Federalist'],17-17
M000607,Charles,McVean,,,1802.0,1848.0,1,['Representative'],['NY'],['Jacksonian'],23-23
M000614,Cowles,Mead,,,1776.0,1844.0,1,['Representative'],['GA'],[],9-9
M000622,Alexander,Mebane,,,1744.0,1795.0,1,['Representative'],['NC'],['Anti-Administration'],3-3
M000625,Ezra,Meech,,,1773.0,1856.0,2,['Representative'],['VT'],"['Democratic Republican', 'Jacksonian']",16-19
M000632,Henry,Meigs,,,1782.0,1861.0,1,['Representative'],['NY'],['Democratic Republican'],16-16
M000633,Return,Meigs,Jonathan,Jr.,1764.0,1825.0,2,['Senator'],['OH'],['Democratic Republican'],10-11
M000636,Prentiss,Mellen,,,1764.0,1840.0,2,['Senator'],['MA'],['Federalist'],15-16
